general_software,n,percent,valid_percent
ARM ST,1,0.011764705882352941,0.0125
CMA,5,0.058823529411764705,0.0625
GENSTAT,1,0.011764705882352941,0.0125
MetaWin,3,0.03529411764705882,0.0375
OpenMee,1,0.011764705882352941,0.0125
R,29,0.3411764705882353,0.3625
SAS,31,0.36470588235294116,0.3875
Stata,1,0.011764705882352941,0.0125
WinBUGS,1,0.011764705882352941,0.0125
not mentioned,2,0.023529411764705882,0.025
not reported,5,0.058823529411764705,0.0625
NA,5,0.058823529411764705,NA
